exp,subject,session,item,standard,response,key,accuracy,con,con6
1,428,1,14.8.06,A-APR.A,2,2,1,5,5
1,438,1,14.8.06,A-APR.A,3,2,0,0,0
1,063,1,14.8.06,A-APR.A,2,2,1,3,3
1,056,1,14.8.06,A-APR.A,2,2,1,5,5
1,280,1,14.8.06,A-APR.A,1,2,0,3,3
1,078,1,14.8.06,A-APR.A,2,2,1,4,4
1,362,1,14.8.06,A-APR.A,2,2,1,3,3
1,445,1,14.8.06,A-APR.A,2,2,1,5,5
1,090,1,14.8.06,A-APR.A,1,2,0,3,3
1,172,1,14.8.06,A-APR.A,4,2,0,5,5
1,097,1,14.8.06,A-APR.A,1,2,0,4,4
1,378,1,14.8.06,A-APR.A,2,2,1,5,5
1,233,1,14.8.06,A-APR.A,1,2,0,4,4
1,416,1,14.8.06,A-APR.A,1,2,0,5,5
1,094,1,14.8.06,A-APR.A,2,2,1,4,4
1,109,1,14.8.06,A-APR.A,2,2,1,5,5
1,132,1,14.8.06,A-APR.A,2,2,1,3,3
1,047,1,14.8.06,A-APR.A,2,2,1,5,5
1,305,1,14.8.06,A-APR.A,1,2,0,3,3
1,125,1,14.8.06,A-APR.A,4,2,0,4,4
1,086,1,14.8.06,A-APR.A,2,2,1,4,4
1,377,1,14.8.06,A-APR.A,3,2,0,5,5
1,220,1,14.8.06,A-APR.A,1,2,0,5,5
1,419,1,14.8.06,A-APR.A,2,2,1,5,5
1,369,1,14.8.06,A-APR.A,1,2,0,5,5
1,039,1,14.8.06,A-APR.A,2,2,1,5,5
1,071,1,14.8.06,A-APR.A,2,2,1,5,5
1,420,1,14.8.06,A-APR.A,1,2,0,3,3
1,010,1,14.8.06,A-APR.A,3,2,0,2,2
1,353,1,14.8.06,A-APR.A,2,2,1,0,0
1,018,1,14.8.06,A-APR.A,2,2,1,4,4
1,427,1,14.8.06,A-APR.A,3,2,0,1,1
1,403,1,14.8.06,A-APR.A,2,2,1,5,5
1,238,1,14.8.06,A-APR.A,3,2,0,5,5
1,064,1,14.8.06,A-APR.A,2,2,1,5,5
1,195,1,14.8.06,A-APR.A,2,2,1,4,4
1,032,1,14.8.15,A-SSE.A,1,1,1,5,5
1,278,1,14.8.15,A-SSE.A,1,1,1,4,4
1,455,1,14.8.15,A-SSE.A,1,1,1,5,5
1,161,1,14.8.15,A-SSE.A,1,1,1,4,4
1,428,1,14.8.15,A-SSE.A,1,1,1,5,5
1,438,1,14.8.15,A-SSE.A,1,1,1,5,5
1,063,1,14.8.15,A-SSE.A,1,1,1,5,5
1,056,1,14.8.15,A-SSE.A,1,1,1,5,5
1,280,1,14.8.15,A-SSE.A,4,1,0,4,4
1,078,1,14.8.15,A-SSE.A,1,1,1,5,5
1,362,1,14.8.15,A-SSE.A,1,1,1,5,5
1,445,1,14.8.15,A-SSE.A,1,1,1,5,5
1,090,1,14.8.15,A-SSE.A,1,1,1,4,4
1,172,1,14.8.15,A-SSE.A,1,1,1,5,5
1,097,1,14.8.15,A-SSE.A,1,1,1,5,5
1,378,1,14.8.15,A-SSE.A,1,1,1,5,5
1,233,1,14.8.15,A-SSE.A,1,1,1,5,5
1,416,1,14.8.15,A-SSE.A,1,1,1,5,5
1,094,1,14.8.15,A-SSE.A,1,1,1,5,5
1,109,1,14.8.15,A-SSE.A,1,1,1,5,5
1,132,1,14.8.15,A-SSE.A,1,1,1,4,4
1,047,1,14.8.15,A-SSE.A,1,1,1,5,5
1,305,1,14.8.15,A-SSE.A,1,1,1,3,3
1,125,1,14.8.15,A-SSE.A,4,1,0,4,4
1,086,1,14.8.15,A-SSE.A,1,1,1,5,5
1,377,1,14.8.15,A-SSE.A,1,1,1,4,4
1,220,1,14.8.15,A-SSE.A,1,1,1,5,5
1,419,1,14.8.15,A-SSE.A,1,1,1,5,5
1,369,1,14.8.15,A-SSE.A,1,1,1,5,5
1,039,1,14.8.15,A-SSE.A,1,1,1,5,5
1,071,1,14.8.15,A-SSE.A,1,1,1,4,4
1,420,1,14.8.15,A-SSE.A,4,1,0,3,3
1,010,1,14.8.15,A-SSE.A,1,1,1,5,5
1,353,1,14.8.15,A-SSE.A,1,1,1,5,5
1,018,1,14.8.15,A-SSE.A,1,1,1,5,5
1,427,1,14.8.15,A-SSE.A,2,1,0,4,4
1,403,1,14.8.15,A-SSE.A,1,1,1,5,5
1,238,1,14.8.15,A-SSE.A,2,1,0,3,3
1,064,1,14.8.15,A-SSE.A,1,1,1,5,5
1,195,1,14.8.15,A-SSE.A,1,1,1,4,4
1,032,1,15.6.17,A-SSE.A,3,2,0,0,0
1,278,1,15.6.17,A-SSE.A,3,2,0,1,1
1,455,1,15.6.17,A-SSE.A,2,2,1,5,5
1,161,1,15.6.17,A-SSE.A,2,2,1,3,3
1,428,1,15.6.17,A-SSE.A,2,2,1,5,5
1,438,1,15.6.17,A-SSE.A,4,2,0,0,0
1,063,1,15.6.17,A-SSE.A,3,2,0,4,4
1,056,1,15.6.17,A-SSE.A,2,2,1,3,3
1,280,1,15.6.17,A-SSE.A,2,2,1,3,3
1,078,1,15.6.17,A-SSE.A,3,2,0,1,1
1,362,1,15.6.17,A-SSE.A,2,2,1,1,1
1,445,1,15.6.17,A-SSE.A,2,2,1,2,2
1,090,1,15.6.17,A-SSE.A,2,2,1,0,0
1,172,1,15.6.17,A-SSE.A,2,2,1,0,0
1,097,1,15.6.17,A-SSE.A,4,2,0,3,3
1,378,1,15.6.17,A-SSE.A,3,2,0,1,1
1,233,1,15.6.17,A-SSE.A,3,2,0,1,1
1,416,1,15.6.17,A-SSE.A,3,2,0,4,4
1,094,1,15.6.17,A-SSE.A,2,2,1,4,4
1,109,1,15.6.17,A-SSE.A,3,2,0,2,2
1,132,1,15.6.17,A-SSE.A,2,2,1,1,1
1,047,1,15.6.17,A-SSE.A,4,2,0,3,3
1,305,1,15.6.17,A-SSE.A,2,2,1,0,0
1,125,1,15.6.17,A-SSE.A,2,2,1,4,4
1,086,1,15.6.17,A-SSE.A,3,2,0,2,2
1,377,1,15.6.17,A-SSE.A,3,2,0,1,1
1,220,1,15.6.17,A-SSE.A,3,2,0,0,0
1,419,1,15.6.17,A-SSE.A,4,2,0,5,5
1,369,1,15.6.17,A-SSE.A,3,2,0,1,1
1,039,1,15.6.17,A-SSE.A,2,2,1,5,5
1,071,1,15.6.17,A-SSE.A,4,2,0,0,0
1,420,1,15.6.17,A-SSE.A,3,2,0,2,2
1,010,1,15.6.17,A-SSE.A,1,2,0,1,1
1,353,1,15.6.17,A-SSE.A,2,2,1,3,3
1,018,1,15.6.17,A-SSE.A,2,2,1,2,2
1,427,1,15.6.17,A-SSE.A,1,2,0,4,4
1,403,1,15.6.17,A-SSE.A,4,2,0,1,1
1,238,1,15.6.17,A-SSE.A,3,2,0,4,4
1,064,1,15.6.17,A-SSE.A,2,2,1,5,5
1,195,1,15.6.17,A-SSE.A,2,2,1,3,3
1,032,1,14.8.03,A-REI.B,3,3,1,3,3
1,278,1,14.8.03,A-REI.B,3,3,1,3,3
1,455,1,14.8.03,A-REI.B,3,3,1,5,5
1,161,1,14.8.03,A-REI.B,3,3,1,5,5
1,428,1,14.8.03,A-REI.B,3,3,1,5,5
1,438,1,14.8.03,A-REI.B,3,3,1,2,2
1,056,1,14.8.03,A-REI.B,3,3,1,5,5
1,280,1,14.8.03,A-REI.B,2,3,0,5,5
1,078,1,14.8.03,A-REI.B,3,3,1,5,5
1,362,1,14.8.03,A-REI.B,3,3,1,4,4
1,445,1,14.8.03,A-REI.B,3,3,1,5,5
1,090,1,14.8.03,A-REI.B,1,3,0,2,2
1,172,1,14.8.03,A-REI.B,3,3,1,4,4
1,097,1,14.8.03,A-REI.B,3,3,1,5,5
1,378,1,14.8.03,A-REI.B,2,3,0,2,2
1,233,1,14.8.03,A-REI.B,3,3,1,2,2
1,416,1,14.8.03,A-REI.B,3,3,1,5,5
1,094,1,14.8.03,A-REI.B,3,3,1,5,5
1,109,1,14.8.03,A-REI.B,3,3,1,5,5
1,132,1,14.8.03,A-REI.B,3,3,1,3,3
1,047,1,14.8.03,A-REI.B,3,3,1,5,5
1,305,1,14.8.03,A-REI.B,4,3,0,3,3
1,125,1,14.8.03,A-REI.B,1,3,0,4,4
1,086,1,14.8.03,A-REI.B,3,3,1,5,5
1,377,1,14.8.03,A-REI.B,3,3,1,4,4
1,220,1,14.8.03,A-REI.B,3,3,1,4,4
1,419,1,14.8.03,A-REI.B,3,3,1,4,4
1,369,1,14.8.03,A-REI.B,3,3,1,4,4
1,039,1,14.8.03,A-REI.B,3,3,1,5,5
1,071,1,14.8.03,A-REI.B,3,3,1,1,1
1,420,1,14.8.03,A-REI.B,3,3,1,1,1
1,010,1,14.8.03,A-REI.B,3,3,1,2,2
1,353,1,14.8.03,A-REI.B,1,3,0,3,3
1,018,1,14.8.03,A-REI.B,3,3,1,5,5
1,427,1,14.8.03,A-REI.B,2,3,0,0,0
1,403,1,14.8.03,A-REI.B,3,3,1,5,5
1,238,1,14.8.03,A-REI.B,3,3,1,5,5
1,064,1,14.8.03,A-REI.B,3,3,1,5,5
1,195,1,14.8.03,A-REI.B,3,3,1,4,4
1,032,1,14.8.19,A-CED.A,4,4,1,5,5
1,278,1,14.8.19,A-CED.A,4,4,1,3,3
1,455,1,14.8.19,A-CED.A,4,4,1,5,5
1,161,1,14.8.19,A-CED.A,4,4,1,3,3
1,428,1,14.8.19,A-CED.A,4,4,1,5,5
1,438,1,14.8.19,A-CED.A,4,4,1,4,4
1,063,1,14.8.19,A-CED.A,4,4,1,4,4
1,056,1,14.8.19,A-CED.A,4,4,1,5,5
1,280,1,14.8.19,A-CED.A,2,4,0,4,4
1,078,1,14.8.19,A-CED.A,1,4,0,5,5
1,362,1,14.8.19,A-CED.A,4,4,1,3,3
1,445,1,14.8.19,A-CED.A,4,4,1,5,5
1,090,1,14.8.19,A-CED.A,2,4,0,3,3
